Ссылка,Количество комнат,Цена,Адрес,Площадь,Дополнительная информация,Этаж,Количество этажей в доме
https://domclick.ru/card/sale__flat__369167708,1-комн. квартира,1550000,"Челябинск, Российская улица, 59Б",33,2,9
https://domclick.ru/card/sale__flat__4544506,1-комн. квартира,1320000,"Челябинск, улица Дегтярёва, 102А",41,9,10
https://domclick.ru/card/sale__flat__4860137,1-комн. квартира,1875000,"Челябинск, улица Тарасова, 40",43,3,10
https://domclick.ru/card/sale__flat__372585504,1-комн. квартира,1550000,"Челябинск, улица Мусы Джалиля, 12","40,59",5,10
https://domclick.ru/card/sale__flat__325356273,1-комн. квартира,999000,"Челябинск, улица Танкистов, 152",30,5,5
https://domclick.ru/card/sale__flat__466400519,1-комн. квартира,1680000,"Челябинск, улица Академика Сахарова, 10",41,10,10
https://domclick.ru/card/sale__flat__642201614,1-комн. квартира,1600000,"Челябинск, улица Скульптора Головницкого, 28",43,9,10
https://domclick.ru/card/sale__flat__604695592,1-комн. квартира,1399000,"Челябинск, улица Габдуллы Тукая, 13","35,4",2,10
https://domclick.ru/card/sale__flat__4925762,1-комн. квартира,1750000,"Челябинск, улица Елькина, 110",43,10,10
https://domclick.ru/card/sale__flat__339374353,1-комн. квартира,850000,"Челябинск, улица Кудрявцева, 83",30,5,5
https://domclick.ru/card/sale__flat__267503821,1-комн. квартира,1350000,"Челябинск, проспект Победы, 304","30,3",2,5
https://domclick.ru/card/sale__flat__302562845,1-комн. квартира,1530000,"Челябинск, улица Расковой, 3","43,7",9,10
https://domclick.ru/card/sale__flat__5207292,1-комн. квартира,1040000,"Челябинск, улица Кудрявцева, 16",31,2,5
https://domclick.ru/card/sale__flat__625691363,1-комн. квартира,850000,"Челябинск, улица Комарова, 112А",21,1,9
https://domclick.ru/card/sale__flat__472526188,1-комн. квартира,670,"Челябинск, Комсомольский проспект, 93","19,6",3,9
https://domclick.ru/card/sale__flat__4462283,1-комн. квартира,1120000,"Челябинск, Набережная улица, 18",32,1,5
